,N,Max,Min,deviation,Class
1,8.0,0.365666993527,0.0743246060617,0.219995799794,1.0
2,8.0,0.34035345605,0.0692377289452,0.219979494441,1.0
3,9.0,0.451361820646,0.000952750074999,0.245684827702,1.0
4,8.0,0.41280418362,0.00858175449853,0.210682189692,1.0
5,9.0,0.441363990351,0.00161197080635,0.243564643349,1.0
6,8.0,0.395163995685,0.0351542249927,0.22176874163,1.0
7,11.0,0.466252459636,0.0016683427033,0.285316073473,1.0
8,8.0,0.410709693813,0.015442498366,0.222725269315,1.0
9,9.0,0.440755003796,0.0379082657916,0.270998525371,1.0
10,8.0,0.283774942133,0.162524690798,0.224101201108,1.0
11,10.0,0.468735902161,0.00773916244736,0.266668641697,1.0
12,9.0,0.468253726773,0.000510531735282,0.258108153763,1.0
13,10.0,0.463347785043,0.0109111692319,0.274365113972,1.0
14,9.0,0.45722201042,0.0292374074539,0.24635591459,1.0
15,8.0,0.401530404298,0.0103228434067,0.222961469916,1.0
16,8.0,0.400033283186,0.0129082518956,0.222847543904,1.0
17,9.0,0.484165482183,0.0316048262326,0.248718105893,1.0
18,8.0,0.380158035921,0.0458467361889,0.215759805435,1.0
19,8.0,0.470671947204,0.00492036869109,0.232140955264,1.0
20,8.0,0.337380439521,0.0307638234373,0.214624128901,1.0
21,9.0,0.454865205578,0.021102920017,0.246075691927,1.0
22,9.0,0.452860597073,0.00449651195346,0.247338288465,1.0
23,9.0,0.466650356268,0.025995903573,0.253142231181,1.0
24,8.0,0.391561542823,0.033052638707,0.21696488736,1.0
25,9.0,0.451675853848,0.0164989513215,0.247990469954,1.0
26,8.0,0.381952931498,0.0636108869349,0.220588083485,1.0
27,12.0,0.960099786134,0.0309937221547,0.395305097356,0.0
28,9.0,0.448259165042,0.0329874155803,0.252521039692,1.0
29,8.0,0.405967000271,0.00455392231211,0.225346761201,1.0
30,10.0,0.459829880813,0.00872113370252,0.262740409246,1.0
31,9.0,0.445908969835,0.00995657448181,0.244833487726,1.0
32,10.0,0.732688267846,0.000146127532186,0.293821105366,0.0
33,9.0,0.445807389226,0.0617897613647,0.242643286588,1.0
34,9.0,0.446796812793,0.0138327132571,0.191155648785,1.0
35,8.0,0.382672398034,0.0744677032144,0.226021495556,1.0
36,9.0,0.468937575363,0.00572945818581,0.249776275706,1.0
37,8.0,0.300666580467,0.0847990755342,0.219908878812,1.0
38,9.0,0.486639793285,0.00265069477457,0.244778582513,1.0
39,9.0,0.444101261233,0.00381067185485,0.239644390113,1.0
40,9.0,0.47020959792,0.0162708770786,0.247008880453,1.0
41,8.0,0.379049625025,0.0476807157018,0.215979695744,1.0
42,9.0,0.449420909751,0.0405381973436,0.248399834688,1.0
43,8.0,0.415349518592,0.103089710897,0.259219614744,1.0
44,8.0,0.38507519729,0.0694583069152,0.225105861535,1.0
45,8.0,0.390061909413,0.15407392318,0.219912555307,1.0
46,9.0,0.445383798322,0.0264530110765,0.242368029465,1.0
47,8.0,0.413243157843,0.0568878593101,0.223877178809,1.0
48,9.0,0.491754743955,0.00610780846455,0.254462728284,1.0
49,8.0,0.365766483599,0.146351622514,0.225324464975,1.0
