,event,TrackID,bef/aft,N,Max_1,Min_1,deviation_1,Max_0,Min_0,deviation_0,Class
56,686,1,0,9,1.5041418985142694,0.23358016736745366,0.8849306065472774,0.048558984478885014,0.0072912220815557482,0.028962292693993228,1.0
57,686,2,0,8,1.0688454156637308,0.95367758954145987,1.0039425480515116,0.011577523732578698,0.0054448109275258283,0.0083274369464715926,1.0
58,686,1,1,9,1.0854007764934519,0.16077114061417924,0.88446408575948043,0.037722467187276343,0.001394055045644221,0.019234291047738203,1.0
59,686,2,1,8,1.6578654802422497,0.19380446368015503,0.85554128514175765,0.093197496204790342,0.027825028913862848,0.05398461243445031,1.0
60,23,1,0,9,1.1317321558752333,0.21603025328101058,0.88485606599897881,0.021488571135523549,0.0043013565430228412,0.014099412013164954,1.0
61,23,2,0,8,1.259775774327055,0.83592961592652326,1.0199785439779445,0.03137666025926461,0.00054012350028562108,0.014779529009861833,1.0
62,23,1,1,9,1.1721611520343846,0.4516219093632628,0.94872428975000944,0.033572628660219761,0.0090841431798549949,0.021198650815491778,1.0
63,23,2,1,8,1.4255068013709473,0.91067722838029397,1.1080454377081674,0.029230635230845639,0.00064406330698238358,0.013657900130480374,1.0
64,2360,1,0,10,1.2061362414085022,0.34243596508133073,0.86915334670441757,0.068733093943093099,0.0055050324942943485,0.036031338562704206,1.0
65,2360,2,0,10,1.2287978790357548,0.28947696453341082,0.88704994937291848,0.038470335487282542,0.0055087692885902317,0.02025834581670178,1.0
66,2360,1,1,9,1.0772764241576649,0.50054654267606646,0.91725008353886262,0.028559022168215556,0.0012913914057772202,0.013449051575045976,1.0
67,2360,2,1,9,1.2706033944100528,0.702330764197309,0.97649456628110898,0.087118685972963711,0.0171584463296304,0.040938047023627328,1.0
68,27,1,0,10,5.3894231555197036,0.015593417663236074,1.7140793390510836,0.42201516589559745,0.014423111691054254,0.15064775849286477,0.5
69,27,2,0,7,2.8344923743929256,0.84232853271489216,1.3226914149908746,0.16953855223477199,0.00043004886801706332,0.042290873678081542,0.5714285714285714
70,27,1,1,8,1.0518547874900241,0.9498819355093614,0.99866934455811784,0.0091753508433375375,0.0049678773563139184,0.0064714039878521531,1.0
71,27,2,1,8,1.0293030046839824,0.91765491971877744,0.97759200669649093,0.0097146474265165927,0.0033440647976115123,0.0072298304017167107,1.0
72,2077,1,0,10,1.4313238683692049,0.91646272732444645,1.0618470187282296,0.021174097684310778,0.0013886000016414268,0.009445538440523012,1.0
73,2077,2,0,9,1.0549569247324402,0.2049365870415977,0.91671684701120826,0.01771304393323303,0.0034205173274346051,0.011345540414932433,1.0
74,2077,1,1,9,1.1924879367210555,0.351555147436027,0.95237531827947819,0.031933037624851363,0.00078667101522645472,0.014792509403524303,1.0
75,2077,2,1,9,1.0879873427558671,0.28284559201954323,0.92025615406797689,0.029608861684542354,0.012093990724958065,0.019065824241474606,1.0
76,1057,1,0,9,1.1794336719630463,0.19486165259793789,0.93637905927210363,0.026661635038102455,0.00033533471574931362,0.012243995365074268,1.0
77,1057,2,0,8,3.1957593447642849,0.38609574808285546,1.3102609486206869,0.17314868952174572,0.0078751930184604857,0.049809262653227784,1.0
78,1057,1,1,10,3.1724638236640783,0.12079027225958311,1.1876506155413651,0.13026795615537179,0.010863239609054581,0.08361348597428496,1.0
79,1057,2,1,8,1.2382503513876368,0.68643442136904065,0.99015685922769159,0.020410940674330691,0.0090593134210655846,0.014348531918291137,1.0
80,549,1,0,10,1.0602145023870404,0.11301373068175177,0.81267643554881064,0.026874577642595307,0.0021045421882925353,0.013793766808574109,1.0
81,549,2,0,8,1.2992852884391155,0.012274826071530456,0.83907368806256688,0.092235133373439721,0.00024987667100223598,0.038356498668491376,1.0
82,549,1,1,10,1.2368471685639706,0.3095142537968692,0.88643836293447298,0.035739131221553727,0.0086243444788345336,0.019215053132318905,1.0
83,549,2,1,8,1.2455921575584503,0.23281515736478758,0.85390982903137513,0.076869313027864095,0.012447898554201808,0.040789798277247158,1.0
84,39,1,0,8,1.0460737473169339,0.94955890285012667,1.0033948219874365,0.0082324797940072636,0.0047777035533835832,0.0061963799152835279,1.0
85,39,2,0,8,1.0452054318586841,0.97164512223555666,1.0036613995303019,0.0038873036886797607,0.0022129683294127844,0.0030461416152725799,1.0
86,39,1,1,8,1.0424598429929413,0.92041836030444246,0.99598688036610428,0.0092735690643198643,0.0018726396900389242,0.0059695209589715557,1.0
87,39,2,1,8,1.0139753850096467,0.93736621700024636,0.98569855904960002,0.0047933472012825495,0.0013296581845292366,0.0030305547890733678,1.0
88,2271,1,0,8,1.0256641151708068,0.80292755997934018,0.95500359582156458,0.0089671902410901061,0.0044324840475037097,0.0061692987115811743,1.0
89,2271,2,0,8,1.8469236274739116,0.49176895630984413,1.0661152603867139,0.093312693996251625,0.0016726298867571869,0.03324259910630379,1.0
90,2271,1,1,9,1.9658923113571101,0.95834512015837137,1.1235405442114161,0.015014157493961539,0.00022095978687564077,0.0062425593161334249,1.0
91,2271,2,1,8,1.3055269370681584,0.27177371426320973,0.68876429287363317,0.14699680861855852,0.021009167212104843,0.069914056121158794,1.0
92,1066,1,0,8,1.0785700593465943,0.92923020297177994,1.0020221183527163,0.0071367636244688976,0.0029586968542581471,0.0047067379376127018,1.0
93,1066,2,0,8,1.128967796321551,0.76709299365511108,0.9420093783609319,0.025855963585555086,0.01224755012162082,0.018650787035588475,1.0
94,1066,1,1,9,1.1802572581772097,0.53393760770556842,0.94422700527670778,0.040277438345864003,2.5340548272245744e-06,0.017467070847447419,1.0
95,1066,2,1,8,1.2931248388967753,0.72280701801283997,1.0034095077843976,0.029141431446323862,0.012223883202674368,0.018555573666384117,1.0
96,1655,1,0,8,1.0711222595153411,0.93085903725963481,1.0031895764043146,0.010733237066095913,0.0049877122427623433,0.007272422869876503,1.0
97,1655,2,0,8,2.0060710457652124,0.073187240184370825,0.96937232331934342,0.35510904134938581,0.0093513883028393703,0.15715855893265307,1.0
98,1655,1,1,10,1.0528655749620233,0.18663952508363765,0.83464188344315282,0.024520799909597435,0.0061315302647064196,0.017066815863705891,1.0
99,2482,1,0,10,1.3191126993124116,0.22911442651872418,0.88917607424809941,0.05059281793318518,0.00044044362555273331,0.023375830172406797,1.0
100,2482,2,0,9,1.1136873633386255,0.29160602224857246,0.92771336963031892,0.04087215850256188,0.0058586262728694827,0.020882742086083626,1.0
101,2482,1,1,10,1.1198400312697616,0.30329469794849045,0.88311640985998674,0.053197842732039827,0.0052942599121458822,0.035936026538428853,1.0
102,2482,2,1,8,1.227993310093549,0.49255480294434451,0.92370335946896831,0.039412967736397936,0.0034187254775171153,0.0187001683898903,1.0
103,558,1,0,10,1.1773889629764944,0.53999798947259781,0.90602349120272974,0.067098336913842621,0.03349840045733854,0.047427553989244461,1.0
104,558,2,0,9,3.6537977434880462,0.41847717570283821,1.320157816782755,0.39258968139114653,0.0091113927411239776,0.10027936035666135,0.8888888888888888
105,558,1,1,9,1.3560605095188942,0.30225175134867149,0.96419942132257141,0.019389402881261397,0.0052819692237995736,0.011517799536917712,1.0
106,558,2,1,8,1.088320552900816,0.87183374325823382,0.98637532783498194,0.015299327256546591,0.0001524689840066238,0.0065637498471969495,1.0
107,2095,1,0,8,1.0483274425660365,0.95912709725033007,1.0016522599221225,0.0082668977745221917,0.0016985092533596882,0.0048873491537798309,1.0
108,2095,2,0,8,2.2445919688159175,0.6325251599452506,1.0291868904671937,0.090402617412051883,0.0062560549206470088,0.043840113850418617,1.0
109,2095,1,1,9,1.1212486893601745,0.42618535127858387,0.92552628739820419,0.035983734506822268,0.0017695792936674171,0.015430519018783975,1.0
110,2095,2,1,8,1.3572105255760758,0.44103926101555424,0.92434756234228344,0.082871429207282576,0.016165074360010877,0.045895708230912269,1.0
111,48,1,0,10,1.1341560742807821,0.26777075859772981,0.85993842839509893,0.024931041111442009,0.0086575718921287591,0.015565963689666572,1.0
112,48,2,0,9,1.1798874159613977,0.51139339505023051,0.97474897795442628,0.051452937013383493,0.014044865222088976,0.027920118539336663,1.0
113,48,1,1,10,1.0523843564689774,0.74043260400700317,0.95406275759149661,0.011503674996251746,0.00042787020643386686,0.0063411515069086962,1.0
114,48,2,1,9,1.2931117894863502,0.40887195147041638,0.98930226766205953,0.035734827293410945,0.004423519748496918,0.017806314010482133,1.0
115,50,1,0,9,1.2872895199071965,0.081128621377558482,0.79454458123928207,0.082201988395893766,0.0028053934762223842,0.041498523830769608,1.0
116,50,2,0,8,1.088762345388705,0.93721198598027966,1.0048904620379,0.0089317215511260928,0.0031119534324887677,0.0051279795905819943,1.0
117,50,1,1,10,1.1708622646787612,0.31208384743680972,0.88744322147207078,0.030963588370933,0.0041411423768988754,0.021319327991668822,1.0
118,50,2,1,9,1.268675162412318,0.33541883464422789,0.9151136352069944,0.043556716367384063,0.0006968982332370957,0.024613412860597966,1.0
119,2099,1,0,10,1.0853031458144433,0.19558215526212963,0.8354507216077145,0.03415149375181753,0.004436782572495369,0.017479317504239051,1.0
120,2099,2,0,10,1.1677022107688262,0.15883625709698401,0.86965711258053857,0.034507926685211465,0.013143736556473468,0.023559993028175789,1.0
121,2099,1,1,8,1.0437614936922468,0.97395536383651204,1.0027648692020092,0.0053340849825217196,0.0029973516816699519,0.0042380319805005139,1.0
122,2099,2,1,8,1.1750960645622766,0.94328866974936509,1.0382072280951715,0.018821703158039466,0.0047983322011218368,0.010981453531662102,1.0
123,53,1,0,9,1.1179696202251697,0.3109027733087516,0.89792801570910141,0.015571018095813245,3.1886403336194697e-05,0.008633474240713852,1.0
124,53,2,0,8,1.1595906298506917,0.89038785887571181,1.0099179204126747,0.024593134393509936,0.011495302313267092,0.01794053045365027,1.0
125,53,1,1,8,2.6540893069327582,0.87857207427984141,1.2092145482278482,0.041017215274715246,0.0005938711764588156,0.017942635909958538,1.0
126,53,2,1,8,1.1550721765752883,0.91993774700768927,1.0149108976015706,0.01344748460897971,0.0029041965054210639,0.0090793766997980287,1.0
127,1204,1,0,9,1.1866794143639712,0.33995291517623316,0.90941473962721409,0.046214035032617562,0.0042375227049488498,0.027458337778285921,1.0
128,1204,2,0,8,4.5698217076901964,0.49554690835880788,1.9920684777576856,0.14235139386736245,0.045810012982417901,0.095768088513205382,1.0
129,1204,1,1,10,6.7937380893758181,0.02024918300391277,2.0936528602230031,0.10760391837146172,0.010799398636218042,0.046084681562218587,1.0
130,1204,2,1,9,2.2110048047499111,0.32571298336711468,1.1191306026301397,0.190756382609514,0.00051149877394954246,0.085096741459060043,1.0
131,1546,1,0,8,1.1651351664858214,0.79775286011005941,0.98939829845814709,0.016804015330213251,0.00019676808685986473,0.0072808840803581876,1.0
132,1546,2,0,8,1.1246588973721465,0.80533869522793844,0.99061283916482501,0.012032984488462295,0.00051301117068819346,0.0076794309206119618,1.0
133,1546,1,1,9,1.2181026833045503,0.36143455223207283,0.92034009862864841,0.030988361529488806,0.0040674575323521034,0.011727876706083658,1.0
134,1546,2,1,8,1.2068344772225545,0.19057378380636453,0.8314907478248198,0.060882190782724915,0.0074414435458163286,0.031164898594603585,1.0
135,62,1,0,9,1.5711839596368584,0.73149496600531727,1.0849086246582502,0.07907494189732775,0.0001006423745527143,0.031853037314741726,1.0
136,62,2,0,8,1.2299669014898069,0.8420107099632691,1.0167304009394911,0.03906337156272699,0.0093349264125499598,0.020553104270837105,1.0
137,62,1,1,8,1.172609324471491,0.59069867842587698,0.9261685780356701,0.039350504895024813,0.0057350500269587375,0.019474960205911794,1.0
138,62,2,1,8,1.2071664833662326,0.51988653146227426,0.91282815367727532,0.060059688777755027,0.016249922847559217,0.030952430541321914,1.0
139,1775,1,0,9,1.4199910201700001,0.54785190902525727,0.99134955021074789,0.0077169769371036034,0.0013632198683029317,0.0045359074497613823,1.0
140,1775,2,0,8,1.1023546345428499,0.36267996142184933,0.85803839538919791,0.038494082701550358,0.004689351269145936,0.019636854150059644,1.0
141,1775,1,1,9,1.061349991830324,0.48784769261244376,0.91736605514278935,0.02283641561997727,0.0022520166363798333,0.011997085872987335,1.0
142,1775,2,1,9,1.0663662630682351,0.37094622666825189,0.89960550911815185,0.02345524186132919,0.0028326580954290415,0.014841034130725659,1.0
143,1600,1,0,10,1.3352600791485327,0.68157788982310719,0.96937879951066674,0.038463624834830096,0.0039838833581380649,0.022884657457542392,1.0
144,1600,2,0,9,1.1751679242833541,0.16032920290558392,0.85946198151473252,0.041129833660044662,0.00017185643744066503,0.020101233505327682,1.0
145,1600,1,1,9,1.1600869165878525,0.16849031381031676,0.87729213221867131,0.049188262498674806,0.0024175998279191355,0.028781456795520355,1.0
146,1600,2,1,9,1.0443015262180075,0.28492794078447475,0.90366343269098059,0.011170270787450642,0.0023307787766484733,0.0066790015250476186,1.0
147,2113,1,0,9,1.238400996186785,0.039939568405993678,0.92352351193570614,0.008162018260188697,0.0041542715792178275,0.0061723876752602675,1.0
148,2113,2,0,9,2.303952467617604,0.89280676170020046,1.1554060436079716,0.024099576690075897,0.0021633803924233641,0.0094288471051539556,1.0
149,2113,1,1,11,1.0524962838762981,0.38555282568384142,0.85181881942550786,0.024016516675463541,0.00025947683223437323,0.013136078229546244,1.0
150,2113,2,1,8,1.2319465922191386,0.54464115616419817,0.9562236720840549,0.044313887420085712,0.0071683695190366409,0.02255156609285975,1.0
151,1090,1,0,10,8.0710617444750277,0.18398049135955449,2.4131922949377262,0.57639596914111912,0.0027533194292497874,0.19260575750388892,0.7
152,1090,1,1,9,1.5962126471209335,0.46819753251642682,1.0016751827749619,0.022435729042995123,0.0089993298171743286,0.013650377416982639,1.0
153,1090,2,1,8,1.0466041195594094,0.892951125440267,0.97473942318094708,0.013383637544056304,0.0035589550125685668,0.0080054948275054914,1.0
154,2423,1,0,9,1.1912315467087669,0.28988839313962883,0.93958548151601662,0.061375802439201294,0.0039967615998328099,0.026385007951409616,1.0
155,2423,2,0,8,2.0256390623600171,0.80407972469364841,1.2097651520646453,0.10411988440733144,0.019504054666149739,0.040883781676402872,1.0
156,2423,1,1,8,1.5865463318970834,0.85995241247821752,1.1231353843170007,0.049305109122895791,0.001472734607443571,0.019298968551977953,1.0
157,1206,1,0,10,1.6123819507683181,0.32021707862915405,0.9298680874837103,0.17567007594526698,0.0071760093596741903,0.10071567953330555,1.0
158,1206,2,0,9,1.2741518979700954,0.092723513739070826,0.74272473917761184,0.12462190941619744,0.013936444741961207,0.055516558900128209,1.0
159,1206,1,1,11,3.188952728177175,0.0022554551046282951,1.2419904547745171,0.11589142828432503,0.069073871741236276,0.091276244178281604,1.0
160,1206,2,1,8,1.5476965139419065,0.17281360576317872,0.77215254478345652,0.12646975431240309,0.014358894723217174,0.071444459631367974,1.0
161,1606,1,0,10,1.2059944868566668,0.27844145804047371,0.88876722280523757,0.03577496735145369,0.015710931243293858,0.024662985882257297,1.0
162,1606,2,0,9,1.2114746929099549,0.33301545671255345,0.95127542936604648,0.028830017123833429,0.0065423911125181422,0.015236676214811513,1.0
163,1606,1,1,10,1.0587043868192092,0.58269457769875488,0.93356742578459406,0.013262865576057326,0.00026956740862010831,0.0062249225518391082,1.0
164,1606,2,1,8,1.1196507128997375,0.6639463722137473,0.93546943467473165,0.033393974627525802,0.0036519131618682477,0.015744406828486476,1.0
165,1607,1,0,9,1.1664287713318935,0.17047911677900338,0.92613709338952022,0.038607240703332657,0.0021040050943188504,0.020393856361661824,1.0
166,1607,2,0,8,1.0911015360891381,0.92759657584288802,1.0096153919393041,0.014617744232928165,0.0051904741115778863,0.010019839934350693,1.0
167,1607,1,1,9,1.0953811227604087,0.35989250084644947,0.8732286674642975,0.042980236098750541,0.006492216961803722,0.025905593013560921,1.0
168,1607,2,1,8,1.0748462133213963,0.71370735718589429,0.93424888851292298,0.027694273132667813,0.013004190575799664,0.018508115826808304,1.0
169,1548,1,0,10,1.32228514845668,0.33733003450616589,0.89996091157325042,0.13258841547499989,0.030590452992628359,0.069046081050139069,1.0
170,1548,2,0,8,1.1258877788110242,0.55361781792992293,0.91104546743723325,0.055254846397001733,0.0010737074635430444,0.018905973691003611,1.0
171,1548,1,1,11,1.1983422502745309,0.78408179341139617,0.98890631889220326,0.075641646652361783,0.0015577193693280256,0.043833918849606905,1.0
172,1548,2,1,9,1.1143421558330475,0.087652738431832578,0.85366248994107641,0.037614089852163912,0.0051407719893264425,0.019930820219997172,1.0
173,74,1,0,9,1.156954132197463,0.33896843186712666,0.90889094354819988,0.038627063850333834,0.00081064342956538304,0.018433633384266783,1.0
174,74,2,0,8,1.2080757343441531,0.78292010335129159,1.000006718795829,0.010201158353202011,0.0027892496263611354,0.0056795835796668798,1.0
175,74,1,1,9,1.1449089824270537,0.62729737490960391,0.94096580102168581,0.040933814465721863,0.00011750373061708563,0.019086319130675117,1.0
176,74,2,1,8,1.1711878327479601,0.83417514583942332,1.0102574148950141,0.026803555852909389,0.011039740285117061,0.020561599782085931,1.0
177,1293,1,0,10,1.1834808681001185,0.56022595613938675,0.92231103844015561,0.068791349253688946,0.02351688280995623,0.050040873918431969,1.0
178,1293,2,0,8,1.0834236178069003,0.92776601750748,1.0023928756670095,0.011597006291578171,0.0037111627191260266,0.0071176187046501438,1.0
179,1293,1,1,10,1.8874718285796681,0.3264884150113726,1.0169936754001172,0.044367283700126214,0.015139927958052968,0.025639017844205921,1.0
180,1293,2,1,9,1.663068462885769,0.14546721252911485,0.86091677944621792,0.12068719064455238,0.024580070692308054,0.084432566823988559,1.0
181,1213,1,0,8,1.1162110102345231,0.66700310775910865,0.92260379873611753,0.031273435177020581,0.0024344861311776803,0.015296127717800197,1.0
182,1213,2,0,8,2.0366185038608693,0.33561177624582622,1.1564493944846506,0.081875480881082513,0.036512703210495129,0.05479110431269231,1.0
183,1213,1,1,10,1.1356808892288532,0.18987859018250033,0.773489590859606,0.080186185517849562,0.024595094607327003,0.052835637146988537,1.0
184,1213,2,1,8,1.163422738199694,0.75879920222197672,0.98555101998942785,0.027079190613645165,0.0040921435110653492,0.015351723293485404,1.0
185,84,1,0,9,1.099574623288478,0.26386630712576137,0.90453902331670777,0.025461726002857177,0.0055521641378252773,0.016100473220730611,1.0
186,84,1,1,10,4.6531744637803456,0.23971840072244455,1.4525477544370231,0.26927613202009804,0.089965346828463286,0.16808530855949283,1.0
187,84,2,1,8,1.0466301570970689,0.87854758224235574,0.96984282449872383,0.011878959650450077,0.0016124009446839439,0.0075807163222881471,1.0
188,85,1,0,8,1.593702336017172,0.082687871867467566,0.88514283648073278,0.068277599478264867,0.014156048856971026,0.032927123585256957,1.0
189,85,2,0,8,1.1487346326971049,0.95685638546382779,1.0360492669619945,0.012060909390199437,0.0032449560864785676,0.0082653229529411638,1.0
190,85,1,1,8,1.6391204777379422,0.28590868212471782,0.90575942747746074,0.17911812008345235,0.062697705926696629,0.11190964623139044,1.0
191,85,2,1,8,1.0494944604073835,0.94850245842661363,1.003633113545948,0.010806679996716972,0.0064428367365174655,0.0083991041970728972,1.0
192,86,1,0,8,1.0905516165016373,0.30934563244133012,0.84529772516501389,0.035113046502503298,0.0068417207044297323,0.019369876160938812,1.0
193,86,2,0,8,1.0493332546863459,0.95296639716289178,1.0026502835723006,0.011670125841706153,0.0011290370741325328,0.0059350854228937214,1.0
194,86,1,1,9,1.0435812683535375,0.1854353226916442,0.89715720110090025,0.01382248931618027,0.00044831257010632692,0.0060187193071777672,1.0
195,86,2,1,8,1.0347745272351163,0.92237798519605696,0.98462689125267433,0.0096324515978415959,0.0040747217665692004,0.0065455247261713857,1.0
196,1111,1,0,9,1.3091215543107861,0.15171207369324641,0.95750706870970981,0.027143680203647325,0.01016232327132946,0.019836179600387947,1.0
197,1111,2,0,8,1.1950519562899513,0.21893378299639213,0.5681228138664256,0.20893643348812441,0.0054578159101771433,0.096451697218344137,1.0
198,1111,1,1,9,1.3990515950426641,0.51551817798747057,0.98964865305831828,0.08080212316585908,0.0040033877609596119,0.046513151753314483,1.0
199,1111,2,1,9,1.1473213075288802,0.28063318639377571,0.90262492374044001,0.034780688109338764,0.0011041588789779768,0.019619244543016178,1.0
