,dist,all_dist2wire,all_dist2wires_stereo,score,score_div_dist,slope,intercept,f1,f2,label
1909,23.0008238082,0.462336237154,354.601603212,0.0223686531315,0.000972515302842,[-0.03151545],[ 11.81872652],-22.9784551551,49.7491261984,0
1910,23.9609344665,0.416915128582,354.601603212,0.0223686531315,0.00093354677643,[-0.03151545],[ 11.81872652],-23.9385658134,57.4719716888,0
1911,28.9964511579,0.18253469142,354.601603212,0.0223686531315,0.000771427269139,[-0.03151545],[ 11.81872652],-28.9740825048,158.854467238,0
1912,29.4831382563,0.252420073037,354.601603212,0.0223686531315,0.000758693085418,[-0.03151545],[ 11.81872652],-29.4607696032,116.801876735,0
1913,29.8987804389,0.225647604986,354.601603212,0.0223686531315,0.000748146004725,[-0.03151545],[ 11.81872652],-29.8764117857,132.502095206,0
1914,30.472414756,0.208628914754,354.601603212,0.0223686531315,0.000734062374466,[-0.03151545],[ 11.81872652],-30.4500461028,146.060361728,0
1915,1.67094728701,0.142293132726,100.000227496,1.76235555327,1.05470445835,[ 0.11829598],[-377.69541987],0.091408266266,11.7429931789,2
1916,1.73687998468,0.337554974704,100.000227496,1.76235555327,1.01466743173,[ 0.11829598],[-377.69541987],0.0254755685968,5.14547292986,2
1917,2.2352910148,0.247504382764,100.000227496,1.76235555327,0.788423315626,[ 0.11829598],[-377.69541987],-0.472935461522,9.03131891983,2
1918,2.18773911766,0.29243808831,100.000227496,1.76235555327,0.805560196389,[ 0.11829598],[-377.69541987],-0.425383564389,7.48103343961,2
1919,1.8613552601,0.18253469142,100.000227496,1.76235555327,0.946813104972,[ 0.11829598],[-377.69541987],-0.0989997068282,10.1972685062,2
1920,1.7932874756,0.252420073037,100.000227496,1.76235555327,0.982751275104,[ 0.11829598],[-377.69541987],-0.0309319223264,7.10437745313,2
1921,1.27649564494,0.225647604986,100.000227496,1.76235555327,1.3806201065,[ 0.11829598],[-377.69541987],0.485859908329,5.65703165793,2
1922,1.29132811659,0.208628914754,100.000227496,1.76235555327,1.36476200791,[ 0.11829598],[-377.69541987],0.471027436684,6.18959322158,2
1923,0.0124659465855,0.387652770469,0.0237168405485,0.011979288262,0.960960981166,[-0.02172496],[ 53.02377337],-0.000486658323535,0.0321575067564,1
1924,0.011560458807,0.467342540499,0.0237168405485,0.011979288262,1.03622948379,[-0.02172496],[ 53.02377337],0.000418829454995,0.0247365857057,1
1925,0.0103822753441,0.00631132178583,0.0237168405485,0.011979288262,1.15382109075,[-0.02172496],[ 53.02377337],0.00159701291787,1.64502392627,1
1926,0.0100626527552,0.205870555804,0.0237168405485,0.011979288262,1.19047020239,[-0.02172496],[ 53.02377337],0.00191663550682,0.0488785427127,1
1927,0.0116773214724,0.175939784764,0.0237168405485,0.011979288262,1.02585925122,[-0.02172496],[ 53.02377337],0.000301966789568,0.0663711251441,1
1928,0.0158656004566,0.384874667122,0.0237168405485,0.011979288262,0.755047897164,[-0.02172496],[ 53.02377337],-0.0038863121946,0.041222771494,1
1929,0.0136674701219,0.000747573046131,0.0237168405485,0.011979288262,0.876481759621,[-0.02172496],[ 53.02377337],-0.00168818185989,18.2824543937,1
1930,0.0133478473357,0.103578971833,0.0237168405485,0.011979288262,0.897469678868,[-0.02172496],[ 53.02377337],-0.00136855907376,0.128866381849,1
1931,0.01670963621,0.283206652363,0.0237168405485,0.011979288262,0.716908980629,[-0.02172496],[ 53.02377337],-0.004730347948,0.0590015667731,1
1932,38.2573998634,0.00670619878867,1000.0,0.011979288262,0.00031312342984,[-0.02172496],[ 53.02377337],-38.2454205751,5704.78166081,0
1933,38.316305756,0.420290159083,1000.0,0.011979288262,0.000312642046921,[-0.02172496],[ 53.02377337],-38.3043264677,91.166316717,0
1934,37.4016210487,0.478858503882,1000.0,0.011979288262,0.000320287942771,[-0.02172496],[ 53.02377337],-37.3896417605,78.1057885483,0
1935,39.3912974377,0.380571785737,1000.0,0.011979288262,0.000304110020264,[-0.02172496],[ 53.02377337],-39.3793181494,103.505564296,0
1936,39.28371392,0.104705295731,1000.0,0.011979288262,0.000304942864781,[-0.02172496],[ 53.02377337],-39.2717346317,375.183639429,0
1937,46.0283001303,0.100775972087,1000.0,0.011979288262,0.000260259193324,[-0.02172496],[ 53.02377337],-46.016320842,456.738835427,0
1938,45.363444697,0.382049935219,1000.0,0.011979288262,0.000264073602479,[-0.02172496],[ 53.02377337],-45.3514654088,118.736951679,0
1939,46.388969854,0.391786417324,1000.0,0.011979288262,0.000258235703438,[-0.02172496],[ 53.02377337],-46.3769905657,118.403721525,0
1940,47.2296796118,0.0237509425671,1000.0,0.011979288262,0.000253638990576,[-0.02172496],[ 53.02377337],-47.2177003236,1988.5391697,0
1941,3.58009955226,0.387652770469,4.36629468752,2.51517680686,0.702543817609,[ 0.20592404],[-538.14812427],-1.06492274539,9.23532559285,2
1942,2.3922212683,0.467342540499,4.36629468752,2.51517680686,1.05139806262,[ 0.20592404],[-538.14812427],0.122955538559,5.11877490491,2
1943,2.994039888,0.00631132178583,4.36629468752,2.51517680686,0.840061221943,[ 0.20592404],[-538.14812427],-0.47886308114,474.391892792,2
1944,3.09816135096,0.205870555804,4.36629468752,2.51517680686,0.811828862974,[ 0.20592404],[-538.14812427],-0.582984544101,15.0490745938,2
1945,4.10412264257,0.175939784764,4.36629468752,2.51517680686,0.612841531774,[ 0.20592404],[-538.14812427],-1.58894583571,23.3268595166,2
1946,3.82167104358,0.100775972087,4.36629468752,2.51517680686,0.658135349218,[ 0.20592404],[-538.14812427],-1.30649423672,37.9224428643,2
1947,2.55909281963,0.382049935219,4.36629468752,2.51517680686,0.982839226297,[ 0.20592404],[-538.14812427],-0.0439160127635,6.69832025533,2
1948,1.85315273697,0.391786417324,4.36629468752,2.51517680686,1.35724204308,[ 0.20592404],[-538.14812427],0.662024069896,4.7300076139,2
1949,2.09779647742,0.0237509425671,4.36629468752,2.51517680686,1.19896130723,[ 0.20592404],[-538.14812427],0.417380329442,88.3247673854,2
1950,0.00108870681603,0.00670619878867,0.0350442402254,0.00578611254619,5.3146654921,[ 0.01700725],[-8.72057113],0.00469740573016,0.162343355803,1
1951,0.0136576863193,0.420290159083,0.0350442402254,0.00578611254619,0.423652470184,[ 0.01700725],[-8.72057113],-0.00787157377315,0.0324958508407,1
1952,0.0130869681214,0.478858503882,0.0350442402254,0.00578611254619,0.442127809321,[ 0.01700725],[-8.72057113],-0.00730085557525,0.0273295096889,1
1953,6.7826535826e-05,0.380571785737,0.0350442402254,0.00578611254619,85.3075050306,[ 0.01700725],[-8.72057113],0.00571828601036,0.000178222712161,1
1954,0.00119623961623,0.104705295731,0.0350442402254,0.00578611254619,4.83691767742,[ 0.01700725],[-8.72057113],0.00458987292996,0.0114248243881,1
1955,0.00996391276768,0.100775972087,0.0350442402254,0.00578611254619,0.580706864974,[ 0.01700725],[-8.72057113],-0.00417780022149,0.0988719092587,1
1956,0.00864079721544,0.382049935219,0.0350442402254,0.00578611254619,0.669627165402,[ 0.01700725],[-8.72057113],-0.00285468466925,0.0226169315026,1
1957,0.00761991693524,0.391786417324,0.0350442402254,0.00578611254619,0.75934063263,[ 0.01700725],[-8.72057113],-0.00183380438905,0.0194491605587,1
1958,0.0087282413408,0.0237509425671,0.0350442402254,0.00578611254619,0.662918487272,[ 0.01700725],[-8.72057113],-0.00294212879461,0.367490313959,1
1959,37.4413790722,0.387652770469,1000.0,0.00578611254619,0.000154537912053,[ 0.01700725],[-8.72057113],-37.4355929597,96.5848355137,0
1960,38.2603857512,0.467342540499,1000.0,0.00578611254619,0.000151229853871,[ 0.01700725],[-8.72057113],-38.2545996387,81.8679714248,0
1961,38.3069945134,0.00631132178583,1000.0,0.00578611254619,0.000151045849973,[ 0.01700725],[-8.72057113],-38.3012084009,6069.56764578,0
1962,39.032112998,0.205870555804,1000.0,0.00578611254619,0.000148239797996,[ 0.01700725],[-8.72057113],-39.0263268855,189.595412737,0
1963,39.5462669431,0.175939784764,1000.0,0.00578611254619,0.00014631248392,[ 0.01700725],[-8.72057113],-39.5404808306,224.771600102,0
1964,45.2643152167,0.384874667122,1000.0,0.00578611254619,0.000127829450606,[ 0.01700725],[-8.72057113],-45.2585291042,117.607935994,0
1965,46.1327167062,0.000747573046131,1000.0,0.00578611254619,0.000125423191161,[ 0.01700725],[-8.72057113],-46.1269305936,61709.9786368,0
1966,46.9171610677,0.103578971833,1000.0,0.00578611254619,0.000123326143665,[ 0.01700725],[-8.72057113],-46.9113749552,452.960289501,0
1967,47.2217262564,0.283206652363,1000.0,0.00578611254619,0.000122530729071,[ 0.01700725],[-8.72057113],-47.2159401439,166.739466967,0
1968,3.54643631708,0.00670619878867,4.14938470206,2.57970671774,0.7274081605,[-0.21335485],[ 589.67745508],-0.96672959934,528.829584215,2
1969,2.36351160268,0.420290159083,4.14938470206,2.57970671774,1.09147199227,[-0.21335485],[ 589.67745508],0.21619511506,5.62352353868,2
1970,2.94893473287,0.478858503882,4.14938470206,2.57970671774,0.874792747694,[-0.21335485],[ 589.67745508],-0.369228015133,6.1582590869,2
1971,3.10352445187,0.380571785737,4.14938470206,2.57970671774,0.831218428514,[-0.21335485],[ 589.67745508],-0.523817734131,8.15489893939,2
1972,3.50032244235,0.104705295731,4.14938470206,2.57970671774,0.736991165878,[-0.21335485],[ 589.67745508],-0.920615724614,33.4302330928,2
1973,2.72878644511,0.384874667122,4.14938470206,2.57970671774,0.945367755825,[-0.21335485],[ 589.67745508],-0.149079727371,7.09006509967,2
1974,3.0068364262,0.000747573046131,4.14938470206,2.57970671774,0.857947141807,[-0.21335485],[ 589.67745508],-0.427129708461,4022.13060217,2
1975,2.05772152246,0.103578971833,4.14938470206,2.57970671774,1.25367144659,[-0.21335485],[ 589.67745508],0.521985195277,19.8662091933,2
1976,1.98877359592,0.283206652363,4.14938470206,2.57970671774,1.29713443654,[-0.21335485],[ 589.67745508],0.59093312182,7.02234068064,2
1977,0.0031565889731,0.315447427889,0.00307632347677,0.00319980035352,1.0136892642,[ 0.00083169],[-24.47040252],4.32113804235e-05,0.0100067037928,1
1978,0.0026637376779,0.127207659207,0.00307632347677,0.00319980035352,1.20124454449,[ 0.00083169],[-24.47040252],0.000536062675619,0.0209400730626,1
1979,0.00250964875323,0.284830559672,0.00307632347677,0.00319980035352,1.27499928004,[ 0.00083169],[-24.47040252],0.000690151600293,0.00881102349452,1
