,dist,dist2wire,score,slope,intercept,label,dist_div_dist2wire,dist_div_score
0,0.00886170659839,0.138957827156,0.0178759025844,0.00993817706788,-44.2911521346,1,0.0637726336095,0.495734777953
1,0.00698289878151,0.324979715025,0.0178759025844,0.00993817706788,-44.2911521346,1,0.0214871835338,0.390631955424
2,0.0107639253351,0.139548099639,0.0178759025844,0.00993817706788,-44.2911521346,1,0.0771341592109,0.602147236162
3,0.01273576739,0.265632478451,0.0178759025844,0.00993817706788,-44.2911521346,1,0.0479450685559,0.712454508513
4,0.0171765881661,0.0969808167561,0.0178759025844,0.00993817706788,-44.2911521346,1,0.177113255391,0.960879490421
5,0.0216951692113,0.30170965873,0.0178759025844,0.00993817706788,-44.2911521346,1,0.0719074400951,1.21365447752
6,0.0579623705377,0.435895174738,0.0178759025844,0.00993817706788,-44.2911521346,1,0.132973186896,3.24248637315
7,0.0597292754936,0.431363098182,0.0178759025844,0.00993817706788,-44.2911521346,1,0.138466354089,3.34132921186
8,0.0133954715494,0.0386679771005,0.0178759025844,0.00993817706788,-44.2911521346,1,0.34642286858,0.749359171438
9,56.6964752683,0.366612226426,0.0178759025844,0.00993817706788,-44.2911521346,0,154.649712098,3171.67063317
10,57.4870631974,0.0418795938055,0.0178759025844,0.00993817706788,-44.2911521346,0,1372.67480349,3215.89709532
11,58.0678532682,0.162457625452,0.0178759025844,0.00993817706788,-44.2911521346,0,357.43384225,3248.38720697
12,57.5044743098,0.322599930742,0.0178759025844,0.00993817706788,-44.2911521346,0,178.253213438,3216.87109439
13,61.4705388637,0.209259820308,0.0178759025844,0.00993817706788,-44.2911521346,0,293.752229994,3438.73762868
14,61.9489004092,0.196738153529,0.0178759025844,0.00993817706788,-44.2911521346,0,314.879952352,3465.49776251
15,62.6083236678,0.26054979013,0.0178759025844,0.00993817706788,-44.2911521346,0,240.293126456,3502.38671151
16,62.2443488109,0.199434930684,0.0178759025844,0.00993817706788,-44.2911521346,0,312.103544738,3482.02550987
17,4.0140531083,0.138957827156,5.5629882141,-0.295837500163,749.268527738,2,28.8868442351,0.721564194243
18,3.49088413554,0.324979715025,5.5629882141,-0.295837500163,749.268527738,2,10.7418524115,0.627519599393
19,4.57063416686,0.139548099639,5.5629882141,-0.295837500163,749.268527738,2,32.7531093487,0.821614929055
20,5.97374680815,0.265632478451,5.5629882141,-0.295837500163,749.268527738,2,22.4887665958,1.07383776097
21,4.61323919146,0.209259820308,5.5629882141,-0.295837500163,749.268527738,2,22.045508711,0.829273587129
22,4.29711981341,0.196738153529,5.5629882141,-0.295837500163,749.268527738,2,21.841822424,0.772448124645
23,3.21736978208,0.26054979013,5.5629882141,-0.295837500163,749.268527738,2,12.3483875404,0.578352794983
24,4.164859186,0.199434930684,5.5629882141,-0.295837500163,749.268527738,2,20.883298486,0.748673019914
25,0.00633994808116,0.366612226426,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.017293335094,0.580848726875
26,0.00514283231632,0.0418795938055,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.122800434508,0.471172250187
27,0.00594511254279,0.162457625452,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.0365948506649,0.544674973265
28,0.00734551111427,0.322599930742,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.0227697231595,0.67297566547
29,0.0105126438504,0.209259820308,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.050237278398,0.963139716351
30,0.00921571631692,0.196738153529,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.046842547577,0.844318758039
31,0.00882079522448,0.26054979013,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.0338545474171,0.8081371662
32,0.00999200231549,0.199434930684,0.0109149728455,-0.0125665548612,-43.6017149343,1,0.0501015658653,0.915439960956
33,57.4075092155,0.138957827156,0.0109149728455,-0.0125665548612,-43.6017149343,0,413.129007488,5259.51919701
34,56.8141456827,0.324979715025,0.0109149728455,-0.0125665548612,-43.6017149343,0,174.82366762,5205.15685079
35,57.7839155423,0.139548099639,0.0109149728455,-0.0125665548612,-43.6017149343,0,414.078842291,5294.00451658
36,58.1443174613,0.265632478451,0.0109149728455,-0.0125665548612,-43.6017149343,0,218.890091304,5327.02355604
37,61.7228005125,0.0969808167561,0.0109149728455,-0.0125665548612,-43.6017149343,0,636.443397541,5654.87439927
38,62.0045517589,0.30170965873,0.0109149728455,-0.0125665548612,-43.6017149343,0,205.510662204,5680.68767892
39,61.760856041,0.435895174738,0.0109149728455,-0.0125665548612,-43.6017149343,0,141.687404725,5658.36094285
40,62.6592116858,0.431363098182,0.0109149728455,-0.0125665548612,-43.6017149343,0,145.258627708,5740.66583334
41,62.6446108551,0.0386679771005,0.0109149728455,-0.0125665548612,-43.6017149343,0,1620.06434141,5739.32814511
42,4.37583621399,0.366612226426,5.32843251568,0.295654994009,-843.904644215,2,11.9358709246,0.821223915497
43,3.50576131033,0.0418795938055,5.32843251568,0.295654994009,-843.904644215,2,83.7104898058,0.657934824174
44,4.49688413592,0.162457625452,5.32843251568,0.295654994009,-843.904644215,2,27.680351251,0.843941275916
45,4.98381275077,0.322599930742,5.32843251568,0.295654994009,-843.904644215,2,15.4488959105,0.935324363424
46,4.81122695844,0.0969808167561,5.32843251568,0.295654994009,-843.904644215,2,49.6100890812,0.90293476445
47,3.94381420398,0.30170965873,5.32843251568,0.295654994009,-843.904644215,2,13.0715543565,0.740145285198
48,3.50274487893,0.435895174738,5.32843251568,0.295654994009,-843.904644215,2,8.03575052426,0.657368723094
